id,player,team,era,positions,pts,reb,ast,stl,blk,stl_historically_unavailable,blk_historically_unavailable,raw_composite,source_contribution,source_value,flex_score,tier,tier_label,overall_rank,spin_rank,perfect_share,playable
mitch_mcgary_okc_2010s,Mitch McGary,OKC,2010s,PF,4.38,3.55,0.32,0.35,0.35,false,false,4.78136,4.782,4.782,0.0,F,avoid unless forced,7369,32,,true
erick_dampier_mia_2010s,Erick Dampier,MIA,2010s,C,2.5,3.5,0.4,0.3,0.9,false,false,4.78092,4.781,4.781,0.0,F,avoid unless forced,7370,42,,true
greg_buckner_min_2000s,Greg Buckner,MIN,2000s,SF/SG,4.0,2.1,1.3,0.7,0.1,false,false,4.42841,4.429,4.779,0.35,F,avoid unless forced,7371,39,,true
ricky_davis_cha_2000s,Ricky Davis,CHA,2000s,SF/SG,4.7,1.7,1.3,0.6,0.2,false,false,4.42814,4.428,4.778,0.35,F,avoid unless forced,7372,47,,true
matt_bonner_sas_2010s,Matt Bonner,SAS,2010s,C/PF,5.12,2.5,0.72,0.28,0.26,false,false,4.428222,4.428,4.778,0.35,F,avoid unless forced,7373,35,,true
brandon_knight_dal_2020s,Brandon Knight,DAL,2020s,PG/SG,6.4,1.6,1.6,0.2,0.0,false,false,4.42662,4.427,4.777,0.35,F,avoid unless forced,7374,40,,true
jerome_kersey_sas_1990s,Jerome Kersey,SAS,1990s,SF,3.2,2.9,0.9,0.8,0.3,false,false,4.77536,4.776,4.776,0.0,F,avoid unless forced,7375,37,,true
malik_allen_bkn_2000s,Malik Allen,BKN,2000s,PF,5.4,2.7,0.6,0.3,0.4,false,false,4.77494,4.775,4.775,0.0,F,avoid unless forced,7376,43,,true
bo_ellis_den_1970s,Bo Ellis,DEN,1970s,PF,3.74,3.06,0.66,0.46,0.5,false,false,4.774722,4.775,4.775,0.0,F,avoid unless forced,7377,21,,true
jim_mcilvaine_was_1990s,Jim McIlvaine,WAS,1990s,C,2.06,2.49,0.14,0.26,1.69,false,false,4.775093,4.775,4.775,0.0,F,avoid unless forced,7378,42,,true
al_wood_dal_1980s,Al Wood,DAL,1980s,SF/SG,6.6,1.7,0.6,0.4,0.2,false,false,4.42375,4.424,4.774,0.35,F,avoid unless forced,7379,31,,true
swen_nater_lal_1980s,Swen Nater,LAL,1980s,C,4.5,3.8,0.4,0.4,0.1,false,false,4.77418,4.774,4.774,0.0,F,avoid unless forced,7380,25,,true
anthony_tucker_was_1990s,Anthony Tucker,WAS,1990s,SF,3.9,2.7,1.1,0.7,0.2,false,false,4.77389,4.774,4.774,0.0,F,avoid unless forced,7381,43,,true
tim_kempton_lac_1980s,Tim Kempton,LAC,1980s,PF,4.4,2.9,0.8,0.6,0.2,false,false,4.77319,4.773,4.773,0.0,F,avoid unless forced,7382,54,,true
leroy_ellis_lal_1970s,Leroy Ellis,LAL,1970s,C/PF,4.36,4.09,0.56,,,true,true,4.422809,4.423,4.773,0.35,F,avoid unless forced,7383,47,,true
kirk_snyder_hou_2000s,Kirk Snyder,HOU,2000s,PF/SF/SG,4.69,1.95,0.98,0.26,0.26,false,false,4.070391,4.071,4.771,0.7,F,avoid unless forced,7384,50,,true
sebastian_telfair_lac_2010s,Sebastian Telfair,LAC,2010s,PG,4.3,1.1,2.9,0.6,0.1,false,false,4.77028,4.771,4.771,0.0,F,avoid unless forced,7385,55,,true
chucky_brown_cha_2000s,Chucky Brown,CHA,2000s,PF/SF,4.4,2.7,0.8,0.4,0.2,false,false,4.41775,4.418,4.768,0.35,F,avoid unless forced,7386,48,,true
yuta_watanabe_bkn_2020s,Yuta Watanabe,BKN,2020s,SF,5.6,2.4,0.8,0.4,0.3,false,false,4.7676,4.768,4.768,0.0,F,avoid unless forced,7387,60,,true
rex_chapman_phx_2000s,Rex Chapman,PHX,2000s,PG/SG,6.6,1.5,1.2,0.4,0.0,false,false,4.41639,4.417,4.767,0.35,F,avoid unless forced,7388,45,,true
trey_lyles_sas_2020s,Trey Lyles,SAS,2020s,PF,5.0,3.7,0.6,0.3,0.0,false,false,4.76672,4.767,4.767,0.0,F,avoid unless forced,7389,36,,true
olivier_sarr_okc_2020s,Olivier Sarr,OKC,2020s,C,4.4,3.3,0.5,0.1,0.6,false,false,4.76703,4.767,4.767,0.0,F,avoid unless forced,7390,39,,true
reggie_jordan_atl_1990s,Reggie Jordan,ATL,1990s,PG/SG,3.9,2.2,1.2,0.5,0.3,false,false,4.41597,4.416,4.766,0.35,F,avoid unless forced,7391,39,,true
troy_brown_jr_chi_2020s,Troy Brown Jr.,CHI,2020s,SF,4.5,3.1,0.9,0.4,0.2,false,false,4.76554,4.766,4.766,0.0,F,avoid unless forced,7392,38,,true
bob_kauffman_atl_1970s,Bob Kauffman,ATL,1970s,C/PF/SF,3.9,2.5,1.1,0.3,0.1,false,false,4.06395,4.064,4.764,0.7,F,avoid unless forced,7393,47,,true
nick_vanos_phx_1980s,Nick Vanos,PHX,1980s,C,3.22,3.57,0.91,0.28,0.42,false,false,4.763598,4.764,4.764,0.0,F,avoid unless forced,7394,39,,true
bernard_king_bkn_1990s,Bernard King,BKN,1990s,SF,7.0,2.4,0.6,0.3,0.1,false,false,4.76271,4.763,4.763,0.0,F,avoid unless forced,7395,49,,true
malik_beasley_den_2010s,Malik Beasley,DEN,2010s,SG,7.26,1.75,0.84,0.46,0.09,false,false,4.761585,4.762,4.762,0.0,F,avoid unless forced,7396,47,,true
john_tschogl_phi_1970s,John Tschogl,PHI,1970s,SF,3.1,2.8,0.8,0.6,0.6,false,false,4.76198,4.762,4.762,0.0,F,avoid unless forced,7397,46,,true
tony_massenburg_sac_2000s,Tony Massenburg,SAC,2000s,C/PF,4.3,3.2,0.5,0.2,0.3,false,false,4.40933,4.41,4.76,0.35,F,avoid unless forced,7398,39,,true
phil_pressey_bos_2010s,Phil Pressey,BOS,2010s,PG,3.08,1.48,2.84,0.78,0.1,false,false,4.758602,4.759,4.759,0.0,F,avoid unless forced,7399,51,,true
jon_leuer_mil_2010s,Jon Leuer,MIL,2010s,C/PF,4.7,2.6,0.5,0.3,0.4,false,false,4.40918,4.409,4.759,0.35,F,avoid unless forced,7400,61,,true
